Time,Instance,AvgCPUload,AvgRAM
1605183129,2,25.77,57.08
1605183130,3,34.32,57.1
1605183131,3,35.31,57.08
1605183132,3,35.69,57.08
1605183133,2,33.01,57.05
1605183134,3,34.69,57.05
1605183135,3,28.3,57.03
1605183136,1,21.98,57.03
1605183137,3,25.72,57.02
1605183138,3,26.65,57.05
1605183139,1,26.04,57.03
1605183140,3,29.48,57.04
1605183141,3,33.82,57.05
1605183142,3,33.1,57.06
1605183143,3,39.09,57.04
1605183145,3,36.61,57.03
1605183146,3,27.11,57.04
1605183148,3,26.07,57.04
1605183149,4,28.88,57.05
1605183151,3,29.8,57.07
1605183152,4,33.69,57.07
1605183153,4,38.77,57.07
1605183155,4,37,57.06
1605183156,4,36.58,57.06
1605183158,4,33.68,57.06
1605183159,4,37.1,57.06
1605183161,4,33.5,57.08
1605183162,4,31.3,57.08
1605183164,4,32.67,57.09
1605183165,3,33.32,57.09
1605183167,3,30.4,57.09
1605183168,4,31.79,57.1
1605183169,3,30.57,57.08
1605183170,2,32.05,57.08
1605183171,4,29.98,57.09
1605183172,3,28.72,57.09
1605183173,3,29.33,57.08
1605183174,3,25.25,57.09
1605183175,3,28.58,57.09
1605183176,3,28.34,57.08
1605183177,4,21.4,57.07
1605183178,3,24.37,57.06
1605183179,3,25.63,57.07
1605183180,4,28.16,57.1
1605183181,3,29,57.09
1605183182,4,25.74,57.1
1605183183,3,27.45,57.11
1605183184,3,27.98,57.12
1605183185,4,30.56,57.11
1605183186,4,31.89,57.07
1605183187,4,27.67,57.06
1605183188,4,28.99,57.07
1605183189,3,32.53,57.08
1605183190,3,33.41,57.06
1605183191,4,29.36,57.06
1605183192,3,24.54,57.07
1605183193,3,23.47,57.07
1605183194,4,25.74,57.07
1605183195,4,29.1,57.08
1605183196,3,24.16,57.07
1605183197,3,26.01,57.06
1605183198,4,28.32,57.08
1605183199,4,27.66,57.09
1605183200,2,30.3,57.07
1605183201,4,33.72,57.1
1605183202,4,25.77,57.09
1605183203,4,28.69,57.08
1605183205,2,33.89,57.08
1605183206,4,36.72,57.08
1605183207,3,35.88,57.08
1605183208,2,34.8,57.09
1605183209,4,36.62,57.08
1605183210,2,40.44,57.08
1605183211,3,43.8,57.08
1605183212,4,40.41,57.08
1605183213,4,41.22,57.07
1605183214,4,38.27,57.08
1605183216,4,36.5,57.08
1605183217,4,30.03,57.08
1605183219,4,35.13,57.08
1605183220,4,35.12,57.08
1605183221,4,35.9,57.08
1605183223,4,33.64,57.09
1605183224,4,33.14,57.08
1605183226,4,37.95,57.16
1605183227,4,56.75,58.6
1605183229,4,83.71,59.1
1605183230,3,98.21,59.52
1605183232,4,98.68,59.77
1605183233,3,94.72,60.68
1605183234,2,100,61.96
1605183235,4,93.3,62.22
1605183236,3,72.15,62.46
1605183237,2,53.31,62.51
1605183238,4,46.21,62.52
1605183239,4,35.65,62.52
1605183240,2,31.51,62.54
1605183241,4,34.12,62.54
1605183242,4,32.06,62.52
1605183243,3,27.62,62.53
1605183244,3,30.5,62.53
1605183245,4,36.1,62.57
1605183246,4,36.13,62.56
1605183247,3,33.37,62.56
1605183248,4,33.82,62.57
1605183249,4,33.96,62.54
1605183250,4,35.13,62.55
1605183251,3,36.48,62.56
1605183252,3,38.6,62.57
1605183253,4,36.39,62.55
1605183254,3,41.46,62.59
1605183255,3,42.26,62.57
1605183256,4,40.52,62.56
1605183258,4,39.87,62.58
1605183259,4,42.57,62.56
1605183260,3,46.17,62.57
1605183261,3,48.47,62.56
1605183262,4,38.68,62.56
1605183263,3,37.57,62.56
1605183264,3,36.57,62.54
