timestamp,IL,avgCPU,avgRAM,#robots
1605183557.226,1,54.39,73.88,5
1605183558.223,1,54.51,73.88,5
1605183559.225,1,54.98,73.88,6
1605183560.429,1,51.16,73.87,4
1605183561.246,1,54.87,73.88,6
1605183562.243,1,60.35,73.87,6
1605183563.244,1,55.98,73.88,7
1605183565.166,1,55.55,73.9,2
1605183565.244,1,55.14,73.9,3
1605183565.894,1,53.46,73.91,3
1605183566.078,1,53.78,73.9,4
1605183567.076,1,57.2,73.87,6
1605183568.084,1,59.3,73.87,4
1605183569.087,1,57.18,73.87,3
1605183569.264,1,57.15,73.88,7
1605183570.878,1,56.57,73.89,4
1605183571.265,1,56.88,73.87,7
1605183573.105,1,58.04,73.87,3
1605183573.659,1,57.64,73.87,7
1605183575.106,1,57.25,73.87,6
1605183575.908,1,57.64,73.88,4
1605183576.904,1,56.02,73.87,5
1605183577.905,1,55.4,73.9,7
1605183578.904,1,57.25,73.88,4
1605183579.924,1,56.04,73.88,5
1605183580.912,1,55.42,73.88,5
1605183581.905,1,53.65,73.88,6
